1.273	19.340	9.105	2.0438
0.000	19.147	6.700	1.9350
0.082	18.323	8.928	2.1434
3.189	17.555	10.965	2.2021
0.000	21.005	6.673	2.1874
0.000	23.105	6.567	2.1956
0.000	23.923	8.900	2.3101
0.000	24.198	9.345	2.3403
0.244	20.955	9.460	2.3192
0.000	20.700	7.460	2.1251
0.000	23.253	8.578	2.1692
0.000	25.923	7.405	2.2819
0.000	22.495	9.145	2.0648
0.000	22.055	7.467	2.3889
0.000	23.357	8.358	2.5135
0.000	20.737	8.890	2.3718
0.000	19.420	9.092	2.1775
4.295	16.812	9.495	2.3526
0.000	17.477	9.053	2.2364
0.000	17.648	9.283	2.2982
0.047	19.020	7.192	2.2555
0.965	18.790	9.560	2.4460
0.739	20.460	8.903	2.3869
0.000	21.320	10.127	2.4770
0.274	21.455	8.705	2.3612
1.594	17.870	9.830	2.4900
1.525	15.480	6.435	2.3692
0.000	13.930	5.515	2.4768
1.326	15.507	4.712	2.3467
3.457	16.525	5.965	2.4477
15.007	16.083	9.017	2.4828
4.993	18.295	7.788	2.5434
0.000	18.825	8.940	2.5163
0.032	19.983	8.880	2.4836
0.900	20.145	9.135	2.5963
6.845	19.122	10.840	2.6442
9.333	19.177	13.137	2.7117
17.589	17.290	14.355	2.4696
6.177	19.290	12.440	2.4165
2.152	18.785	8.675	2.5318
0.000	19.050	7.780	2.5392
0.171	25.628	7.940	2.6279
1.077	22.193	10.373	2.6775
7.498	17.915	11.072	2.4444
0.089	20.283	9.300	2.6639
0.000	19.668	8.980	2.5735
0.000	19.503	9.062	2.5265
0.000	20.640	8.910	2.6224
0.000	21.350	8.015	2.6673
0.228	18.997	10.240	2.8540
0.558	18.805	11.393	2.5905
0.000	26.742	6.717	2.5613
0.000	29.505	11.972	2.5816
0.000	33.033	13.428	2.6902
0.000	29.168	15.855	2.7703
0.000	25.848	11.725	2.8130
0.000	25.517	10.147	2.7188
0.000	28.430	10.445	2.6848
0.000	28.055	12.700	2.7002
0.000	29.625	13.775	2.8004
0.000	29.075	12.715	2.7695
0.000	31.088	12.252	2.8256
0.000	31.185	11.847	2.8640
0.000	31.815	11.770	2.8980
0.000	33.275	15.585	3.0304
0.000	32.152	13.888	2.9218
0.000	31.220	12.730	2.7927
0.000	27.648	11.495	2.9376
0.000	26.130	9.678	2.9890
0.000	28.073	10.473	3.0355
0.000	30.922	11.245	3.0564
0.000	28.505	12.037	2.8979
0.000	27.795	9.977	2.9600
0.000	30.128	10.465	2.8938
0.000	29.440	11.600	2.7969
0.000	24.432	11.318	2.7570
0.000	25.840	9.992	2.8900
0.000	27.860	8.950	2.8203
0.000	28.217	10.670	2.9379
0.000	24.955	11.442	2.8858
0.000	26.248	10.003	2.8566
0.000	25.505	10.250	2.7027
0.000	29.155	9.432	2.6876
0.000	31.202	11.132	2.7370
0.000	32.620	12.020	2.7565
0.000	34.027	12.755	2.6793
0.000	34.707	14.150	2.6896
0.000	31.257	13.715	2.7897
